office_name,website,root_domain,gemeente,plaats,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,score,status,review_reason,evidence
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,Alphen-Chaam,Alphen Chaam,Noord-Brabant,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Van Hoven & Oomen,https://www.vhno.nl,vhno.nl,Alphen-Chaam,Alphen Chaam,Noord-Brabant,,missing,0.65,true,seed,20,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.vhno.nl/aanbod,https://www.vhno.nl/woningaanbod,https://www.vhno.nl/koopwoningen"
Baas Makelaardij B.V.,http://www.baasmakelaardij.nl,baasmakelaardij.nl,Altena,Altena,Noord-Brabant,http://www.baasmakelaardij.nl/aanbod/woningaanbod/dordrecht/koop/huis-10137064-Dubbeldamseweg-Noord-17,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Hofstede Bedrijfshuisvesting B.V.,https://www.hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,0,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.hofstedebedrijfshuisvesting.nl/aanbod,https://www.hofstedebedrijfshuisvesting.nl/woningaanbod,https://www.hofstedebedrijfshuisvesting.nl/koopwoningen"
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,20,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.hofstedelandvanheusden.nl/aanbod,https://www.hofstedelandvanheusden.nl/woningaanbod,https://www.hofstedelandvanheusden.nl/koopwoningen"
