office_name,website,root_domain,gemeente,final_status,final_aanbod_url,confidence,detection_method,homepage_status,homepage_title,candidates_found_count,candidates_tested_count,best_candidate_url,final_page_type,residential_signals_count,residential_signals_found,commercial_signals_count,commercial_signals_found,page_quality_reason,commercial_hard_block,commercial_block_reason,is_duplicate_audit_result,listing_signals_count,listing_signals_found,rejection_reason,elapsed_ms
Noortje van der Maat Makelaardij,http://www.noortjevandermaat.nl,noortjevandermaat.nl,Roosendaal,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.noortjevandermaat.nl/"" is interrupted by another navigation to ""https://inderoosmakelaardij.nl/""
Call log:
  - navigating to ""http://www.noortjevandermaat.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.noortjevandermaat.nl/"" is interrupted by another navigation to ""https://inderoosmakelaardij.nl/""
Call log:
  - navigating to ""http://www.noortjevandermaat.nl/"", waiting until ""domcontentloaded""
",1037
SuijkerBuijk bedrijfs Onroerend Goed,http://www.cs-makelaars.nl,cs-makelaars.nl,Roosendaal,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.cs-makelaars.nl/"" is interrupted by another navigation to ""http://www.noortjevandermaat.nl/""
Call log:
  - navigating to ""http://www.cs-makelaars.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.cs-makelaars.nl/"" is interrupted by another navigation to ""http://www.noortjevandermaat.nl/""
Call log:
  - navigating to ""http://www.cs-makelaars.nl/"", waiting until ""domcontentloaded""
",702
Vermunt Makelaardij B.V.,http://www.vermunt-makelaardij.nl,vermunt-makelaardij.nl,Roosendaal,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.vermunt-makelaardij.nl/"" is interrupted by another navigation to ""https://www.suijkerbuijk-bog.nl/""
Call log:
  - navigating to ""http://www.vermunt-makelaardij.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.vermunt-makelaardij.nl/"" is interrupted by another navigation to ""https://www.suijkerbuijk-bog.nl/""
Call log:
  - navigating to ""http://www.vermunt-makelaardij.nl/"", waiting until ""domcontentloaded""
",434
Abelen Makelaars en Taxateurs b.v.,http://www.abelen.nl,abelen.nl,'s-Hertogenbosch,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.abelen.nl/"" is interrupted by another navigation to ""https://www.vermunt-makelaardij.nl/""
Call log:
  - navigating to ""http://www.abelen.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.abelen.nl/"" is interrupted by another navigation to ""https://www.vermunt-makelaardij.nl/""
Call log:
  - navigating to ""http://www.abelen.nl/"", waiting until ""domcontentloaded""
",503
Atenzijlstra Makelaars,http://www.atenzijlstra.nl,atenzijlstra.nl,'s-Hertogenbosch,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.atenzijlstra.nl/"" is interrupted by another navigation to ""https://www.abelen.nl/""
Call log:
  - navigating to ""http://www.atenzijlstra.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.atenzijlstra.nl/"" is interrupted by another navigation to ""https://www.abelen.nl/""
Call log:
  - navigating to ""http://www.atenzijlstra.nl/"", waiting until ""domcontentloaded""
",1086
Het Waare Huis,http://www.hetwaarehuis.nl,hetwaarehuis.nl,'s-Hertogenbosch,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.hetwaarehuis.nl/"" is interrupted by another navigation to ""https://atenzijlstra.nl/""
Call log:
  - navigating to ""http://www.hetwaarehuis.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.hetwaarehuis.nl/"" is interrupted by another navigation to ""https://atenzijlstra.nl/""
Call log:
  - navigating to ""http://www.hetwaarehuis.nl/"", waiting until ""domcontentloaded""
",3386
NEXT Nieuwbouwmakelaars,https://www.nextnieuwbouwmakelaars.nl,nextnieuwbouwmakelaars.nl,'s-Hertogenbosch,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""https://www.nextnieuwbouwmakelaars.nl/"" is interrupted by another navigation to ""https://www.hetwaarehuis.nl/""
Call log:
  - navigating to ""https://www.nextnieuwbouwmakelaars.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""https://www.nextnieuwbouwmakelaars.nl/"" is interrupted by another navigation to ""https://www.hetwaarehuis.nl/""
Call log:
  - navigating to ""https://www.nextnieuwbouwmakelaars.nl/"", waiting until ""domcontentloaded""
",2834
Otter Taxaties & Advies,https://www.ottertaxaties.nl,ottertaxaties.nl,'s-Hertogenbosch,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://www.ottertaxaties.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://www.ottertaxaties.nl/"", waiting until ""domcontentloaded""
",15013
RSP Taxaties & Vastgoedadvies B.V.,http://www.rsptaxaties.nl,rsptaxaties.nl,'s-Hertogenbosch,missing,,0,failed,200,Home - RSP Taxaties & Vastgoedadvies B.V.,7,0,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,2694
Berkers Taxaties,https://www.berkerstaxaties.nl,berkerstaxaties.nl,Someren,missing,,0,failed,200,Professionele taxatie van uw woning - Berkers Taxaties,7,0,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,2405
