property_id,source_id,source_root_domain,source_aanbod_url,property_url,title,address_raw,city_raw,gemeente,price_raw,price_eur,status,status_raw,living_area_raw,plot_area_raw,rooms_raw,image_url,first_seen_at,last_seen_at,discovery_run_id,extraction_confidence,needs_review,review_reason
da36e70d2571e414,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/sint-andriesstraatje-3-7115,Sint Andriesstraatje 3,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 649.000,",649000,verkocht_ov,verkocht onder voorbehoud,153 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/7115/278138318-405351_480x320_fit.png.webp?t=1781014478,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
4fa647606e0428ce,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/esscheweg-214-7114,Esscheweg 214,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 650.000,",650000,verkocht_ov,verkocht onder voorbehoud,118 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7114/279428020-405292_480x320_fit.jpg.webp?t=1781014459,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
d030b3f0c0afe23b,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/esschebaan-6-7111,Esschebaan 6,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 677.500,",677500,verkocht_ov,verkocht onder voorbehoud,125 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7111/280103246-405160_480x320_fit.jpg.webp?t=1781008771,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
bc4cd76f752e9e12,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/burgemeester-van-de-wielstraat-31-7110,Burgemeester van de Wielstraat 31,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 725.000,",725000,verkocht_ov,verkocht onder voorbehoud,125 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7110/247290270-405043_480x320_fit.jpg.webp?t=1781005692,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
4580482004824dd2,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/julianastraat-5-7093,Julianastraat 5,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 430.000,",430000,verkocht_ov,verkocht onder voorbehoud,118 m²,,,https://cloud01.topsite.nl/properties/brokers/8/residential-properties/7093/279974428-403993_480x320_fit.jpg.webp?t=1780924187,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
bdd6fe364b74379d,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/wolfskamerweg-20-51-7059,Wolfskamerweg 20 51,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 345.000,",345000,verkocht_ov,verkocht onder voorbehoud,54 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7059/279007148-402239_480x320_fit.jpg.webp?t=1780664284,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
860d48d3c0668df9,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/eendekooi-14-7057,Eendekooi 14,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.895.000,",1895000,verkocht_ov,verkocht onder voorbehoud,384 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7057/203913119-402163_480x320_fit.jpg.webp?t=1780658092,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
39e02bd54cae522d,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/hinthamereinde-13-7055,Hinthamereinde 13,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.595.000,",1595000,verkocht_ov,verkocht onder voorbehoud,411 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/7055/278839676-402029_480x320_fit.png.webp?t=1780655007,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
c6ef194b07ba14f3,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/antoni-staringlaan-15-7051,Antoni Staringlaan 15,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 935.000,",935000,verkocht_ov,verkocht onder voorbehoud,171 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7051/279153370-401846_480x320_fit.jpg.webp?t=1780651441,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
4a38d369222ab446,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/loverensestraat-5-7048,Loverensestraat 5,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 899.000,",899000,verkocht_ov,verkocht onder voorbehoud,233 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7048/279327332-401684_480x320_fit.jpg.webp?t=1780649350,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
