source_id,root_domain,source_url,property_url,title,address_raw,city_raw,gemeente,price_raw,status_raw,living_area_raw,plot_area_raw,rooms_raw,image_url,extraction_confidence,needs_review,review_reason
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/burgemeester-van-de-wielstraat-31-7110,Burgemeester van de Wielstraat 31,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 725.000,",verkocht onder voorbehoud,125 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7110/247290270-405043_480x320_fit.jpg.webp?t=1781005692,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/julianastraat-5-7093,Julianastraat 5,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 430.000,",verkocht onder voorbehoud,118 m²,,,https://cloud01.topsite.nl/properties/brokers/8/residential-properties/7093/279974428-403993_480x320_fit.jpg.webp?t=1780924187,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/wolfskamerweg-20-51-7059,Wolfskamerweg 20 51,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 345.000,",verkocht onder voorbehoud,54 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7059/279007148-402239_480x320_fit.jpg.webp?t=1780664284,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/eendekooi-14-7057,Eendekooi 14,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.895.000,",verkocht onder voorbehoud,384 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7057/203913119-402163_480x320_fit.jpg.webp?t=1780658092,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/hinthamereinde-13-7055,Hinthamereinde 13,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.595.000,",verkocht onder voorbehoud,411 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/7055/278839676-402029_480x320_fit.png.webp?t=1780655007,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/antoni-staringlaan-15-7051,Antoni Staringlaan 15,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 935.000,",verkocht onder voorbehoud,171 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7051/279153370-401846_480x320_fit.jpg.webp?t=1780651441,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/loverensestraat-5-7048,Loverensestraat 5,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 899.000,",verkocht onder voorbehoud,233 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7048/279327332-401684_480x320_fit.jpg.webp?t=1780649350,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/dagpauwoog-2-7038,Dagpauwoog 2,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 530.000,",verkocht onder voorbehoud,110 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7038/279341978-400942_480x320_fit.png.webp?t=1780581495,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/broekwal-48-7037,Broekwal 48,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.395.000,",verkocht onder voorbehoud,246 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7037/278550554-400916_480x320_fit.jpg.webp?t=1780579758,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/voordijk-7035,Voordijk,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 595.000,",verkocht onder voorbehoud,0 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7035/279354870-400793_480x320_fit.jpg.webp?t=1780571740,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/hoge-maasdijk-13-7029,Hoge Maasdijk 13,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.575.000,",verkocht onder voorbehoud,236 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7029/278873664-400345_480x320_fit.jpg.webp?t=1780564305,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/vondelstraat-20-6952,Vondelstraat 20,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 395.000,",verkocht onder voorbehoud,100 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6952/278508204-396171_480x320_fit.jpg.webp?t=1780081314,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/pieter-bruegelstraat-39-6947,Pieter Bruegelstraat 39,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 497.500,",verkocht onder voorbehoud,139 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6947/278260388-396119_480x320_fit.jpg.webp?t=1780074519,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/dr-de-brouwerstraat-4-6944,Dr. de Brouwerstraat 4,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 397.500,",verkocht onder voorbehoud,85 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6944/277766194-395507_480x320_fit.jpg.webp?t=1780063132,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/ranonkelstraat-28-6939,Ranonkelstraat 28,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.045.000,",verkocht onder voorbehoud,213 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6939/278199854-395246_480x320_fit.jpg.webp?t=1780059739,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/deken-van-baarstraat-21a-6933,Deken van Baarstraat 21A,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 840.000,",verkocht onder voorbehoud,346 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6933/248648343-394863_480x320_fit.jpg.webp?t=1780054948,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/oude-vlijmenseweg-261-6929,Oude Vlijmenseweg 261,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 769.000,",verkocht onder voorbehoud,140 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6929/278322680-394701_480x320_fit.jpg.webp?t=1780048255,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/gerard-van-oostromstraat-4-6919,Gerard van Oostromstraat 4,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 475.000,",verkocht onder voorbehoud,121 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6919/277986058-394257_480x320_fit.jpg.webp?t=1780036242,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/biesheuvellaan-20-6913,Biesheuvellaan 20,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 790.000,",verkocht onder voorbehoud,158 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6913/278026818-393808_480x320_fit.jpg.webp?t=1779972262,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/spechtbos-8-6882,Spechtbos 8,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 525.000,",verkocht onder voorbehoud,50 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6882/278248742-392097_480x320_fit.jpg.webp?t=1779958668,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/kastanjelaan-5-6879,Kastanjelaan 5,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.695.000,",verkocht onder voorbehoud,382 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6879/278208746-391952_480x320_fit.jpg.webp?t=1779954897,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/jan-van-galenstraat-61-6618,Jan van Galenstraat 61,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 595.000,",verkocht onder voorbehoud,125 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6618/277897100-386528_480x320_fit.jpg.webp?t=1779891820,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/de-lek-2-6499,De Lek 2,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 485.000,",verkocht onder voorbehoud,115 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6499/277095304-380767_480x320_fit.jpg.webp?t=1779806475,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/bastion-vught-11-6490,Bastion Vught 11,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 850.000,",verkocht onder voorbehoud,112 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6490/277661316-380198_480x320_fit.jpg.webp?t=1780992866,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/de-virieusingel-10a-6479,de Virieusingel 10a,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.750.000,",verkocht onder voorbehoud,246 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6479/273104172-379492_480x320_fit.jpg.webp?t=1779467365,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/willaertsingel-3-6475,Willaertsingel 3,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 650.000,",verkocht onder voorbehoud,132 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6475/278135928-386429_480x320_fit.jpg.webp?t=1779886909,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/graaf-albrechtstraat-32-6474,Graaf Albrechtstraat 32,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 395.000,",verkocht onder voorbehoud,105 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6474/276338234-379277_480x320_fit.jpg.webp?t=1779459375,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/de-huterstraat-16-6471,De Huterstraat 16,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 320.000,",verkocht onder voorbehoud,76 m²,,,https://cloud01.topsite.nl/properties/brokers/8/residential-properties/6471/277602286-379087_480x320_fit.jpg.webp?t=1779457006,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/onderwijsboulevard-518-6466,Onderwijsboulevard 518,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 419.500,",verkocht onder voorbehoud,78 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6466/277200348-378729_480x320_fit.jpg.webp?t=1779449676,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/fluitenkruid-40-6452,Fluitenkruid 40,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 550.000,",verkocht onder voorbehoud,118 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6452/277364670-378134_480x320_fit.jpg.webp?t=1779439696,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/john-f-kennedylaan-15-6448,John F. Kennedylaan 15,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 750.000,",verkocht onder voorbehoud,175 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6448/280798561-408574_480x320_fit.png.webp?t=1781268471,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/bordeslaan-296-6393,Bordeslaan 296,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 489.000,",verkocht onder voorbehoud,85 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6393/277111096-375109_480x320_fit.jpg.webp?t=1779361041,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/derde-rompert-82-6374,Derde Rompert 82,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 475.000,",verkocht onder voorbehoud,134 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6374/276595750-373993_480x320_fit.jpg.webp?t=1779269073,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/helvoirtseweg-67-6363,Helvoirtseweg 67,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 695.000,",verkocht onder voorbehoud,155 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6363/277121624-378022_480x320_fit.png.webp?t=1779437515,0.95,false,
amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/st-lambertusstraat-70-6303,St.-Lambertusstraat 70,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.895.000,",verkocht onder voorbehoud,353 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6303/275574374-370457_480x320_fit.png.webp?t=1779110373,0.95,false,
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningaanbod/#content,Skip to content,,,'s-Hertogenbosch,,,,,,,0.40,true,missing address and price signals
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningaanbod,Aanbod,,,'s-Hertogenbosch,,,,,,,0.40,true,missing address and price signals
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woning-verkopen,Huis verkopen,,,'s-Hertogenbosch,,,,,,,0.40,true,missing address and price signals
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woning-kopen,Huis kopen,,,'s-Hertogenbosch,,,,,,,0.40,true,missing address and price signals
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningaanbod/#collapsepropertiesmore,objecten gevonden,,,'s-Hertogenbosch,,,,,,,0.40,true,missing address and price signals
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningen/vier-heultjes-99-sprang-capelle-907648212cacc4b9574b03a102f8988753bf6a,Vier Heultjes 99 Sprang-Capelle Vraagprijs € 315.000 k.k.,,,'s-Hertogenbosch,€ 315.000 k.k.,,,,,https://images.realworks.nl/servlets/images/media.objectmedia/279921072.jpg?portalid=4286&check=api_sha256%3a8c1fcdf8ff1a098a2e692461190e44c8861583da8f8315f352aea4b1f8073d22&=20260609134718&width=1080&height=720,0.60,false,
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningen/christoffel-wuststraat-34-rosmalen-90764849f09dca91ad40ad9fcaa156c60d3192,met video Christoffel Wüststraat 34 Rosmalen Vraagprijs € 525.000 k.k.,,,'s-Hertogenbosch,€ 525.000 k.k.,,,,,https://images.realworks.nl/servlets/images/media.objectmedia/278752956.jpg?portalid=4286&check=api_sha256%3a1b4edf51e8751bc34b7555784dde90197828514348a5a042f8ef8aed1edf548f&=20260601122818&width=1080&height=720,0.60,false,
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningen/laageinde-27-waalwijk-9076480ccbfe5631384223b1d6589aa88b651a,met video Laageinde 27 Waalwijk Vraagprijs € 298.000 k.k.,,,'s-Hertogenbosch,€ 298.000 k.k.,,,,,https://images.realworks.nl/servlets/images/media.objectmedia/279234428.jpg?portalid=4286&check=api_sha256%3a2991293ea311015970b8bab8c596da72dadee00116c1d2ad6a33625e282c0ccf&=20260603123314&width=1080&height=720,0.60,false,
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningen/roek-4-sprang-capelle-9076484f88ceb08ef84db9bb6984e891834d2a,met video Roek 4 Sprang-Capelle Vraagprijs € 830.000 k.k.,,,'s-Hertogenbosch,€ 830.000 k.k.,,,,,https://images.realworks.nl/servlets/images/media.objectmedia/276988794.jpg?portalid=4286&check=api_sha256%3aa22bd959a03c8356a6520bc237b9516e26fcb61317f01e512f165a119e4e59fc&=20260521170013&width=1080&height=720,0.60,false,
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningen/nieuwevaart-38-sprang-capelle-9076485dbc1974f100453f9a6a59955ba67296,met video Nieuwevaart 38 Sprang-Capelle Vraagprijs € 790.000 k.k.,,,'s-Hertogenbosch,€ 790.000 k.k.,,,,,https://images.realworks.nl/servlets/images/media.objectmedia/274548732.jpg?portalid=4286&check=api_sha256%3a8debdf0d04f5d3a58ada64db13a442e72a6fb706819a6dc49cb1434e6ca61443&=20260528135606&width=1080&height=720,0.60,false,
carredewit.nl__'s-hertogenbosch,carredewit.nl,https://www.carredewit.nl/woningaanbod,https://www.carredewit.nl/woningen/de-meer-6-kaatsheuvel-907648a99837bc78ed439b98e8df1eb078ae8e,met video De Meer 6 Kaatsheuvel Vraagprijs € 440.000 k.k.,,,'s-Hertogenbosch,€ 440.000 k.k.,,,,,https://images.realworks.nl/servlets/images/media.objectmedia/274326068.jpg?portalid=4286&check=api_sha256%3ae09a7e47b09da1bda7e35ef9547922d1b07fe93e5d082f32d490c4d8e6be664e&=20260608103046&width=1080&height=720,0.60,false,
