office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
Staete,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=1709324880 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6953269 | lon=5.2187303,node,1709324880,,,,,,,,,51.6953269,5.2187303,website_exists=false | rejection_reason=missing_website
Staete Makelaardij,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=4895147267 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6913769 | lon=5.0744028,node,4895147267,,,,,,,,,51.6913769,5.0744028,website_exists=false | rejection_reason=missing_website
Staete Makelaars,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=1709324882 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6953696 | lon=5.2187434,node,1709324882,,,,,,,,,51.6953696,5.2187434,website_exists=false | rejection_reason=missing_website
Van de Zande Makelaardij,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=1709324884 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6955023 | lon=5.2187145,node,1709324884,,,,,,,,,51.6955023,5.2187145,website_exists=false | rejection_reason=missing_website
NVW Vastgoed B.V.,,,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Hennie Kunnen Makelaardij,,,Bergeijk,Bergeijk,Bergeijk,Bergeijk,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Grosfeld makelaardij,,,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Makelaardij Christian,,,Boxtel,Boxtel,Boxtel,Boxtel,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Van der Ven Makelaardij,,,Boxtel,Boxtel,Boxtel,Boxtel,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Housing Solutions,,,Breda,Breda,Breda,Breda,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2739224386 | raw_addr_city=Breda | normalized_place=Breda | normalized_gemeente=Breda | place_status=current_gemeente | postcode=4811AK | lat=51.5933382 | lon=4.7798845,node,2739224386,,,Breda,4811AK,,,,,51.5933382,4.7798845,website_exists=false | rejection_reason=missing_website
