aggregator_name,base_url,adapter_name,robots_status,tos_status,permission_status,allowed_use,adapter_enabled,notes
Huispedia,https://huispedia.nl/,huispedia_adapter,unknown,needs_review,needs_review,disabled_until_permission,false,API/licensing review required
Huislijn,https://www.huislijn.nl/,huislijn_adapter,unknown,restrictive,needs_review,disabled_until_permission,false,commercial reuse needs permission
Funda,https://www.funda.nl/,disabled,restricted,not_allowed,not_allowed_for_scraping,disabled,false,no scraping
