office_name,website,domain,root_domain,koopaanbod_url,koopaanbod_url_quality,plaats,provincie,source_type,discovery_source,confidence,needs_review,review_reason,notes,raw_place,normalized_place,gemeente,place_status,place_review_reason
Vos Woningmakelaardij,https://www.voswoningmakelaardij.nl,voswoningmakelaardij.nl,voswoningmakelaardij.nl,https://www.voswoningmakelaardij.nl/aanbod,valid,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=12, koop=1, huur=0",Altena,Altena,Altena,current_gemeente,
Waltmann & Co. Papendrecht b.v.,http://www.waltmann.com,waltmann.com,waltmann.com,https://www.waltmann.com/aanbod/koopwoningen,valid,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=20, koop=2, huur=0",Altena,Altena,Altena,current_gemeente,
Zoomer Makelaardij B.V.,http://www.zoomermakelaardij.nl,zoomermakelaardij.nl,zoomermakelaardij.nl,https://www.zoomermakelaardij.nl/aanbod/koopwoningen,valid,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=38, koop=1, huur=0",Altena,Altena,Altena,current_gemeente,
Zoomer Nijp Taxatieburo B.V.,http://www.nijpmakelaars.nl,nijpmakelaars.nl,nijpmakelaars.nl,,missing,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Altena,Altena,Altena,current_gemeente,
Berkers Taxaties,https://www.berkerstaxaties.nl,berkerstaxaties.nl,berkerstaxaties.nl,,missing,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Asten,Asten,Asten,current_gemeente,
Beter Wonen makelaardij Helma de Corte,http://www.beterwonenmakelaardij.nl,beterwonenmakelaardij.nl,beterwonenmakelaardij.nl,http://www.beterwonenmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10304094-Peelkesakker-38,valid,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=6, koop=5, huur=0",Asten,Asten,Asten,current_gemeente,
Tulkens Makelaardij,http://www.tulkensmakelaardij.nl,tulkensmakelaardij.nl,tulkensmakelaardij.nl,http://www.tulkensmakelaardij.nl/aanbod/woningaanbod/koop,valid,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=202, koop=4, huur=1",Asten,Asten,Asten,current_gemeente,
Van Houts Makelaardij,http://www.vanhoutsmakelaardij.nl,vanhoutsmakelaardij.nl,vanhoutsmakelaardij.nl,http://www.vanhoutsmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10288622-Berkelaar-23,valid,Asten,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0",Asten,Asten,Asten,current_gemeente,
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,broedersmakelaardij.nl,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,Baarle Nassau,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=5, huur=0",Baarle Nassau,Baarle-Nassau,Baarle-Nassau,alias,
Hennie Kunnen Makelaardij,,,,,missing,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Bergeijk,Bergeijk,Bergeijk,current_gemeente,
Met Ons Makelaars,https://www.metonsmakelaars.nl,metonsmakelaars.nl,metonsmakelaars.nl,https://www.metonsmakelaars.nl/aanbod,valid,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=20, koop=1, huur=0",Bergeijk,Bergeijk,Bergeijk,current_gemeente,
Peter van den Oetelaar Lommers Makelaars,http://www.lommersmakelaars.nl,lommersmakelaars.nl,lommersmakelaars.nl,,missing,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Bergeijk,Bergeijk,Bergeijk,current_gemeente,
Wijman & Jansen ERA makelaars,https://www.wijmanjansen.nl,wijmanjansen.nl,wijmanjansen.nl,,missing,Bergeijk,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Bergeijk,Bergeijk,Bergeijk,current_gemeente,
Baas Makelaars,http://www.baasmakelaars.nl,baasmakelaars.nl,baasmakelaars.nl,https://baasmakelaars.nl/wonen/nieuwbouw,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=16, koop=2, huur=0",Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,alias,
Brabant Makelaardij,http://www.brabantmakelaardij.nl,brabantmakelaardij.nl,brabantmakelaardij.nl,https://www.brabantmakelaardij.nl/huis-verkopen-bergen-op-zoom,suspect,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: missing listing signal,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,alias,
DE VIERWINDEN MAKELAARDIJ B.V.,http://www.devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,https://www.devierwindenmakelaardij.nl/property/holleweg-187-bergen-op-zoom-612,suspect,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,"prijzen=2, koop=3, huur=0; suspect koopaanbod_url: missing listing signal",Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,alias,
Grosfeld makelaardij,,,,,missing,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,alias,
Maes Makelaars,http://www.maesgroep.nl,maesgroep.nl,maesgroep.nl,https://www.maesmakelaars.nl/woningen/te-koop,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=12, koop=2, huur=0",Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,alias,
Viaons Makelaardij B.V.,http://www.viaons.nl,viaons.nl,viaons.nl,http://www.viaons.nl/aanbod/woningaanbod,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=2",Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,alias,
Vink Makelaardij,http://www.vinkmakelaardij.com,vinkmakelaardij.com,vinkmakelaardij.com,http://www.vinkmakelaardij.com/woningen/beschikbaar,valid,Bergen Op Zoom,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=13, koop=1, huur=0",Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,alias,
Den Otter Van Vliet,https://www.denottervanvliet.nl,denottervanvliet.nl,denottervanvliet.nl,https://denottervanvliet.nl/aan-en-verkoop,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.58),Bernheze,Bernheze,Bernheze,current_gemeente,
Jansen & Van Tuijl Makelaars o.g.,http://www.jansen-vantuijl.nl,jansen-vantuijl.nl,jansen-vantuijl.nl,http://www.jansen-vantuijl.nl/aanbod/woningaanbod/oss/koop/huis-8457399-Bernhardlaan-43,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=7, koop=4, huur=1",Bernheze,Bernheze,Bernheze,current_gemeente,
Ketelaars Van Zutphen Makelaardij,http://www.ketelaarsvanzutphen.nl,ketelaarsvanzutphen.nl,ketelaarsvanzutphen.nl,http://www.ketelaarsvanzutphen.nl/aanbod/woningaanbod/koop,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=212, koop=4, huur=1",Bernheze,Bernheze,Bernheze,current_gemeente,
KOMwonen,https://www.kom-wonen.nl,kom-wonen.nl,kom-wonen.nl,https://www.kom-wonen.nl/aanbod/woningaanbod/koop,valid,Bernheze,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=2",Bernheze,Bernheze,Bernheze,current_gemeente,
Ed Willems Makelaardij,http://www.edwillems.nl,edwillems.nl,edwillems.nl,https://edwillems.nl/woningen,valid,Best,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=28, koop=1, huur=0",Best,Best,Best,current_gemeente,
M.G.M. Makelaardij B.V.,http://www.mgmmakelaardij.nl,mgmmakelaardij.nl,mgmmakelaardij.nl,https://www.mgmmakelaardij.nl/aanbod/koop,valid,Best,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=46, koop=2, huur=0",Best,Best,Best,current_gemeente,
Van den Berk & Kerkhof Makelaars en Taxateurs,http://www.berkkerkhof.nl,berkkerkhof.nl,berkkerkhof.nl,https://www.berkkerkhof.nl/actueel/ontdek-het-nieuwbouwproject,suspect,Best,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: missing listing signal,Best,Best,Best,current_gemeente,
