office_name,website,domain,root_domain,koopaanbod_url,koopaanbod_url_quality,plaats,provincie,source_type,discovery_source,confidence,needs_review,review_reason,notes,raw_place,normalized_place,gemeente,place_status,place_review_reason
Cranendonck Makelaars,http://www.cranendonckmakelaars.nl,cranendonckmakelaars.nl,cranendonckmakelaars.nl,https://www.cranendonckmakelaars.nl/aanbod/twee-onder-een-kapwoning-willem-alexanderlaan-36-maarheeze,valid,Cranendonck,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=2.62),Cranendonck,Cranendonck,Cranendonck,current_gemeente,
Assurantie- en Makelaarskantoor Swinkels B.V.,http://www.makelaardijswinkels.nl,makelaardijswinkels.nl,makelaardijswinkels.nl,https://www.makelaardijswinkels.nl/makelaardij/aanbod,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=3, huur=2",Deurne,Deurne,Deurne,current_gemeente,
Bakens Makelaardij,http://www.bakensmakelaardij.nl,bakensmakelaardij.nl,bakensmakelaardij.nl,http://www.bakensmakelaardij.nl/aanbod/woningaanbod/helmond/koop/huis-10309030-Prins-Karelstraat-89,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=5, koop=4, huur=1",Deurne,Deurne,Deurne,current_gemeente,
Door Martijn B.V.,http://www.door-martijn.nl,door-martijn.nl,door-martijn.nl,https://www.door-martijn.nl/ik-verkoop-een-huis,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, sin senales huur",Deurne,Deurne,Deurne,current_gemeente,
Hypodomus | Pieter Vriends,http://www.hypodomus-eindhoven.nl,hypodomus-eindhoven.nl,hypodomus-eindhoven.nl,,missing,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Deurne,Deurne,Deurne,current_gemeente,
NEO makelaars,https://www.neomakelaars.nl,neomakelaars.nl,neomakelaars.nl,,missing,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Deurne,Deurne,Deurne,current_gemeente,
Van Santvoort Makelaars b.v.,http://www.vansantvoort.nl,vansantvoort.nl,vansantvoort.nl,https://www.vansantvoort.nl/woningen-zoeken?type=koopwoningen,valid,Deurne,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=240, sin senales huur",Deurne,Deurne,Deurne,current_gemeente,
Kanters Makelaars B.V.,https://www.kanters.net,kanters.net,kanters.net,,missing,Dongen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Dongen,Dongen,Dongen,current_gemeente,
KIN Makelaars Dongen,http://www.kinmakelaars.nl,kinmakelaars.nl,kinmakelaars.nl,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,Dongen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=4, huur=3",Dongen,Dongen,Dongen,current_gemeente,
Van den Bosch Makelaars,http://www.vandenboschmakelaars.com,vandenboschmakelaars.com,vandenboschmakelaars.com,https://www.vandenboschmakelaars.com/diensten/verkoopmakelaar,suspect,Dongen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'diensten',mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: contains excluded token 'diensten',Dongen,Dongen,Dongen,current_gemeente,
Biemans B.V.,http://www.biemansmakelaardij.nl,biemansmakelaardij.nl,biemansmakelaardij.nl,,missing,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Drimmelen,Drimmelen,Drimmelen,current_gemeente,
"Biemans Made, Makelaardij o.z. en Hypotheken",http://www.biemansmade.nl,biemansmade.nl,biemansmade.nl,http://www.biemansmade.nl/nl/diensten/verkoop,suspect,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'diensten',"prijzen=3, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'diensten'",Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Bogaers Makelaardij,http://www.bogaersmakelaardij.nl,bogaersmakelaardij.nl,bogaersmakelaardij.nl,,missing,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Drimmelen,Drimmelen,Drimmelen,current_gemeente,
ERA Makelaardij Amerstreek,http://www.eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,http://www.eramakelaardijamerstreek.nl/raamsdonksveer/era-makelaardij-amerstreek/verkoopmakelaar-raamsdonksveer,suspect,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'verkoopmakelaar',"prijzen=6, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'verkoopmakelaar'",Drimmelen,Drimmelen,Drimmelen,current_gemeente,
ERA makelaars Oosterhout,http://www.eraoosterhout.nl,eraoosterhout.nl,eraoosterhout.nl,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=0.72),Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Ideale Makelaar,https://www.idealemakelaar.nl,idealemakelaar.nl,idealemakelaar.nl,https://www.idealemakelaar.nl/aanbod/koopwoningen,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0",Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Klijsen Makelaars & Adviseurs,http://www.klijsen.nl,klijsen.nl,klijsen.nl,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.94),Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Marjoleine Rinsma Makelaardij,http://www.mrmakelaardij.nl,mrmakelaardij.nl,mrmakelaardij.nl,http://www.mrmakelaardij.nl/aanbod/woningaanbod?inclkoop=true&inclhuur=false,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=126, koop=4, huur=0",Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,http://www.noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0",Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Trommelen Makelaars en Taxateurs,,,,,missing,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Van der Plas & De Vegt Makelaardij B.V.,http://www.vdplas.nl,vdplas.nl,vdplas.nl,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=0",Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Verbrugge Makelaardij b.v.,http://www.verbrugge.com,verbrugge.com,verbrugge.com,http://www.verbrugge.com/huizen,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=9, koop=1, huur=0",Drimmelen,Drimmelen,Drimmelen,current_gemeente,
Online Bedrijfsmakelaar,http://www.onlinebedrijfsmakelaar.nl,onlinebedrijfsmakelaar.nl,onlinebedrijfsmakelaar.nl,https://onlinebedrijfsmakelaar.nl/aanbod,valid,Eersel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=99, koop=2, huur=2",Eersel,Eersel,Eersel,current_gemeente,
Van Santvoort Makelaars b.v.,http://www.vansantvoort.nl,vansantvoort.nl,vansantvoort.nl,https://www.vansantvoort.nl/woningen-zoeken?type=koopwoningen,valid,Eersel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=240, sin senales huur",Eersel,Eersel,Eersel,current_gemeente,
W. Heeren Makelaardij B.V.,http://www.wheeren.nl,wheeren.nl,wheeren.nl,http://www.wheeren.nl/aanbod/woningaanbod/hapert/koop/huis-9284102-Beerzedal-21,valid,Eersel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0",Eersel,Eersel,Eersel,current_gemeente,
Broekx Makelaardij & Hypotheken,http://www.broekx.nl,broekx.nl,broekx.nl,https://www.broekx.nl/woningaanbod/verkocht?_objecten_beschikbaarheid=verkocht,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, sin senales huur",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Cushman & Wakefield Eindhoven,https://www.cushmanwakefield.nl,cushmanwakefield.nl,cushmanwakefield.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
ERA Focus Makelaars Eindhoven B.V.,http://www.erafocus.nl,erafocus.nl,erafocus.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Hendriks Makelaardij Eindhoven,http://www.hendriks.nl,hendriks.nl,hendriks.nl,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=3.50),Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Hendrix Huybregts Makelaars,http://www.hendrixhuybregts.nl,hendrixhuybregts.nl,hendrixhuybregts.nl,https://hendrixhuybregts.nl/woningen/koop,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=73, koop=2, huur=0",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Hoogveldt Makelaardij,https://hoogveldtmakelaardij.nl,hoogveldtmakelaardij.nl,hoogveldtmakelaardij.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Investimuswoningmakelaars,http://www.investimuswoningmakelaars.nl,investimuswoningmakelaars.nl,investimuswoningmakelaars.nl,https://investimuswoningmakelaars.nl/dienstverlening-verkoop,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.58),Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Janssen Steijlen,http://www.janssensteijlen.nl,janssensteijlen.nl,janssensteijlen.nl,http://www.janssensteijlen.nl/bedrijfsaanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=2, huur=2",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
JLL Eindhoven,http://www.jll.nl,jll.nl,jll.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Lemon Suites,http://www.lemonsuites.nl,lemonsuites.nl,lemonsuites.nl,https://www.lemonsuites.nl/woning-huren,suspect,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=0.72); suspect koopaanbod_url: missing listing signal,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Ligtvoet Makelaardij,https://www.ligtvoetmakelaardij.nl,ligtvoetmakelaardij.nl,ligtvoetmakelaardij.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Makelaarskantoor Brabant B.V.,http://www.brabantbv.nl,brabantbv.nl,brabantbv.nl,http://www.brabantbv.nl/aanbod/woningaanbod/eindhoven/koop/huis-10044888-Aardbeistraat-9,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=0",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
"Meneer de Makelaar, Huijbregts en Wassink",http://www.meneerdemakelaar.nl,meneerdemakelaar.nl,meneerdemakelaar.nl,http://www.meneerdemakelaar.nl/aanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=7, koop=1, huur=0",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
MVGM Vastgoedtaxaties,https://www.mvgmvastgoedtaxaties.nl,mvgmvastgoedtaxaties.nl,mvgmvastgoedtaxaties.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
PAR-3 Makelaars,http://www.par3makelaars.nl,par3makelaars.nl,par3makelaars.nl,https://par3makelaars.nl/aanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=66, koop=2, huur=0",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Pradium Vastgoed,https://www.pradium.nl,pradium.nl,pradium.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Van de Schans Makelaardij,http://www.vandeschans.nl,vandeschans.nl,vandeschans.nl,http://www.vandeschans.nl/aanbod/woningaanbod/koop,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=0",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
vb&t Makelaars Eindhoven,https://www.vbtmakelaars.nl,vbtmakelaars.nl,vbtmakelaars.nl,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=14, koop=2, huur=1",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
VMG Regio Eindhoven B.V.,http://www.vmg-makelaars.nl,vmg-makelaars.nl,vmg-makelaars.nl,http://www.vmg-makelaars.nl/aanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=28, sin senales huur",Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Werner Sanders Makelaardij,http://www.wernersandersmakelaardij.nl,wernersandersmakelaardij.nl,wernersandersmakelaardij.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Eindhoven,Eindhoven,Eindhoven,current_gemeente,
Agnes Tomesen Makelaardij,http://www.tomesenmakelaardij.nl,tomesenmakelaardij.nl,tomesenmakelaardij.nl,https://tomesenmakelaardij.nl/binnenkort-in-de-verkoop,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=2.30),Etten Leur,Etten-Leur,Etten-Leur,alias,
Heijblom Makelaardij,http://www.heijblommakelaardij.nl,heijblommakelaardij.nl,heijblommakelaardij.nl,http://www.heijblommakelaardij.nl/aanbod/woningaanbod/koop,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=1",Etten Leur,Etten-Leur,Etten-Leur,alias,
Makelaar Miranda,http://www.makelaarmiranda.nl,makelaarmiranda.nl,makelaarmiranda.nl,https://makelaarmiranda.nl/huizen,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=20, koop=1, huur=0",Etten Leur,Etten-Leur,Etten-Leur,alias,
Valoris Vastgoedtaxaties+ B.V.,https://www.valoris-taxaties.nl,valoris-taxaties.nl,valoris-taxaties.nl,,missing,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Etten Leur,Etten-Leur,Etten-Leur,alias,
Van de Kasteele Makelaardij,http://www.vandekasteele.com,vandekasteele.com,vandekasteele.com,https://www.vandekasteele.com/property-type/woningen,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=116, koop=1, huur=0",Etten Leur,Etten-Leur,Etten-Leur,alias,
Zegers Makelaardij o.g.,http://www.zegersmakelaardij.nl,zegersmakelaardij.nl,zegersmakelaardij.nl,http://www.zegersmakelaardij.nl/aanbod/woningaanbod,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=2",Etten Leur,Etten-Leur,Etten-Leur,alias,
Biemans B.V.,http://www.biemansmakelaardij.nl,biemansmakelaardij.nl,biemansmakelaardij.nl,,missing,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
"Biemans Made, Makelaardij o.z. en Hypotheken",http://www.biemansmade.nl,biemansmade.nl,biemansmade.nl,http://www.biemansmade.nl/nl/diensten/verkoop,suspect,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'diensten',"prijzen=3, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'diensten'",Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Bogaers Makelaardij,http://www.bogaersmakelaardij.nl,bogaersmakelaardij.nl,bogaersmakelaardij.nl,,missing,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
ERA Makelaardij Amerstreek,http://www.eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,http://www.eramakelaardijamerstreek.nl/raamsdonksveer/era-makelaardij-amerstreek/verkoopmakelaar-raamsdonksveer,suspect,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'verkoopmakelaar',"prijzen=6, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'verkoopmakelaar'",Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
ERA makelaars Oosterhout,http://www.eraoosterhout.nl,eraoosterhout.nl,eraoosterhout.nl,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=0.72),Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Ideale Makelaar,https://www.idealemakelaar.nl,idealemakelaar.nl,idealemakelaar.nl,https://www.idealemakelaar.nl/aanbod/koopwoningen,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0",Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Klijsen Makelaars & Adviseurs,http://www.klijsen.nl,klijsen.nl,klijsen.nl,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.94),Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Marjoleine Rinsma Makelaardij,http://www.mrmakelaardij.nl,mrmakelaardij.nl,mrmakelaardij.nl,http://www.mrmakelaardij.nl/aanbod/woningaanbod?inclkoop=true&inclhuur=false,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=126, koop=4, huur=0",Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,http://www.noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0",Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Trommelen Makelaars en Taxateurs,,,,,missing,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Van der Plas & De Vegt Makelaardij B.V.,http://www.vdplas.nl,vdplas.nl,vdplas.nl,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=0",Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Verbrugge Makelaardij b.v.,http://www.verbrugge.com,verbrugge.com,verbrugge.com,http://www.verbrugge.com/huizen,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=9, koop=1, huur=0",Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,
Frank Gruintjes Makelaars,http://www.frankgruintjes.nl,frankgruintjes.nl,frankgruintjes.nl,http://www.frankgruintjes.nl/aanbod/woningaanbod/mierlo/koop/huis-7946295-Vaanakker-61,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=5, koop=4, huur=0",Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,alias,
KIN Makelaars Regio Eindhoven B.V.,https://www.kinmakelaars.nl,kinmakelaars.nl,kinmakelaars.nl,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=4, huur=3",Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,alias,
Kranen Makelaardij,http://www.kranenmakelaardij.nl,kranenmakelaardij.nl,kranenmakelaardij.nl,http://www.kranenmakelaardij.nl/aanbod,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=60, koop=2, huur=0",Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,alias,
Woonadvies Makelaardij o.g.,https://www.woonadviesmakelaardij.nl,woonadviesmakelaardij.nl,woonadviesmakelaardij.nl,https://www.woonadviesmakelaardij.nl/aanbod/woningaanbod/mierlo/koop/huis-9229080-Patrijslaan-4H-47,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=12, koop=4, huur=0",Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,alias,
B & L Makelaarskantoor O.G. B.V.,http://www.vendomakelaars.nl,vendomakelaars.nl,vendomakelaars.nl,http://www.vendomakelaars.nl/voor-kopers/binnenkort-te-koop,valid,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=2.78),Gemert Bakel,Gemert-Bakel,Gemert-Bakel,alias,
Broeckx makelaars,http://www.woonplezier.nl,woonplezier.nl,woonplezier.nl,http://www.woonplezier.nl/aanbod/woningaanbod/koop,valid,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=5, huur=1",Gemert Bakel,Gemert-Bakel,Gemert-Bakel,alias,
Van Helvoort Makelaardij o.z. B.V.,https://vanhelvoortmakelaardij.nl,vanhelvoortmakelaardij.nl,vanhelvoortmakelaardij.nl,,missing,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Gemert Bakel,Gemert-Bakel,Gemert-Bakel,alias,
Van Nunen Makelaars,https://www.vannunenmakelaars.nl,vannunenmakelaars.nl,vannunenmakelaars.nl,https://www.vannunenmakelaars.nl/verkoop,valid,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.58),Gemert Bakel,Gemert-Bakel,Gemert-Bakel,alias,
Appart Makelaars,,,,,missing,Gilze En Rijen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Gilze En Rijen,Gilze en Rijen,Gilze en Rijen,alias,
Jouw Aankoopmakelaar & Taxateur,https://www.jouwamet.nl,jouwamet.nl,jouwamet.nl,,missing,Gilze En Rijen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Gilze En Rijen,Gilze en Rijen,Gilze en Rijen,alias,
Makelaar Sander,http://www.makelaarsander.nl,makelaarsander.nl,makelaarsander.nl,http://www.makelaarsander.nl/aanbod/woningaanbod,valid,Gilze En Rijen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=2",Gilze En Rijen,Gilze en Rijen,Gilze en Rijen,alias,
Appels Makelaardij B.V.,http://www.appels.nl,appels.nl,appels.nl,https://www.appels.nl/aanbod,valid,Goirle,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=0.72),Goirle,Goirle,Goirle,current_gemeente,
Clavem Makelaars,http://www.clavem.eu,clavem.eu,clavem.eu,http://www.clavem.eu/aanbod/woningaanbod/hilvarenbeek/koop/huis-9980160-Dr.-P.-C.-de-Brouwerlaan-20,valid,Goirle,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0",Goirle,Goirle,Goirle,current_gemeente,
