office_name,gemeente,plaats,source_origin,raw_place,normalized_place,phone,email,lat,lon,reason,suggested_domains,notes
Kin Makelaars,Gilze en Rijen,Rijen,overpass_osm,Rijen,Rijen,,,51.5897663,4.9182573,missing_website_unresolved,,osm_type=node | osm_id=2857127074 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5897663 | lon=4.9182573
VDP,Gilze en Rijen,Rijen,overpass_osm,Rijen,Rijen,,,51.5887748,4.9188365,missing_website_unresolved,,osm_type=node | osm_id=2857157742 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5887748 | lon=4.9188365
Van de Zande Makelaardij,Waalwijk,Waalwijk,overpass_osm,Waalwijk,Waalwijk,,,51.6911809,5.0755497,missing_website_unresolved,"vandersande.nl,vandeschans.nl,vandekasteele.com",osm_type=node | osm_id=2892316172 | raw_addr_city=Waalwijk | normalized_place=Waalwijk | normalized_gemeente=Waalwijk | place_status=current_gemeente | postcode=5142CD | lat=51.6911809 | lon=5.0755497
Debbie Mels Lommers Makelaars,(unknown),,overpass_osm,,(unknown),,,51.427947,5.4865195,missing_website_unresolved,,osm_type=node | osm_id=3579525469 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.427947 | lon=5.4865195
Samen-wonen Vastgoed Makelaardij,(unknown),,overpass_osm,,(unknown),,,51.4274356,5.4864557,missing_website_unresolved,"hrs.nl,statigwonen.nl,kom-wonen.nl",osm_type=node | osm_id=3579525478 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4274356 | lon=5.4864557
Staete Makelaardij,(unknown),,overpass_osm,,(unknown),,,51.6913769,5.0744028,missing_website_unresolved,staete.nl,osm_type=node | osm_id=4895147267 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6913769 | lon=5.0744028
Pit Makerlaars,Veldhoven,Veldhoven,overpass_osm,Veldhoven,Veldhoven,,,51.4043667,5.3991721,missing_website_unresolved,"viermakelaars.nl,digimakelaars.nl,makelaarsplein.com",osm_type=node | osm_id=6287108383 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5504HB | lat=51.4043667 | lon=5.3991721
Van Kasteren Makelaardij,Veldhoven,Veldhoven,overpass_osm,Veldhoven,Veldhoven,,,51.40318,5.3970564,missing_website_unresolved,"vandekasteele.com,vangeffen.nl,vanwetten.nl",osm_type=node | osm_id=6287110986 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5504HH | lat=51.40318 | lon=5.3970564
Casa Nostra,(unknown),,overpass_osm,,(unknown),,,51.2740686,5.5734861,missing_website_unresolved,,osm_type=node | osm_id=11786769549 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.2740686 | lon=5.5734861
Adriaan Heuvel,(unknown),,overpass_osm,,(unknown),,,51.4243481,5.4854966,missing_website_unresolved,heuvelmakelaars.nl,osm_type=node | osm_id=11955510586 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4243481 | lon=5.4854966
Hypodomus,(unknown),,overpass_osm,,(unknown),,,51.4244475,5.4855513,missing_website_unresolved,hypodomus-breda.nl,osm_type=node | osm_id=11955512985 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4244475 | lon=5.4855513
Meneer de Makelaar,(unknown),,overpass_osm,,(unknown),,,51.4259964,5.4859299,missing_website_unresolved,wernersandersmakelaardij.nl,osm_type=node | osm_id=11955530728 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4259964 | lon=5.4859299
Slippens & Vermeer,(unknown),,overpass_osm,,(unknown),,,51.4295026,5.4867953,missing_website_unresolved,,osm_type=node | osm_id=11955722140 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4295026 | lon=5.4867953
