office_name,website,root_domain,gemeente,plaats,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,score,status,review_reason,evidence
NVW Vastgoed B.V.,,,Altena,Altena,Noord-Brabant,,missing,0.40,true,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | makelaar_signals=vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Hennie Kunnen Makelaardij,,,Bergeijk,Bergeijk,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Grosfeld makelaardij,,,Bergen op Zoom,Bergen Op Zoom,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Makelaardij Christian,,,Boxtel,Boxtel,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Van der Ven Makelaardij,,,Boxtel,Boxtel,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Taxatie 4u,,,Breda,Breda,Noord-Brabant,,missing,0.40,true,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Van Bragt Makelaars & Taxateurs,,,Breda,Breda,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Trommelen Makelaars en Taxateurs,,,Drimmelen,Drimmelen,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Trommelen Makelaars en Taxateurs,,,Geertruidenberg,Geertruidenberg,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Appart Makelaars,,,Gilze en Rijen,Gilze En Rijen,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Beaufort & Kwakkernaat ERA Makelaars,,,Land van Cuijk,Land Van Cuijk,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,"website_exists=false | makelaar_signals=makelaar,era | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
De Wissel Beheer B.V.,,,Land van Cuijk,Land Van Cuijk,Noord-Brabant,,missing,0.40,true,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Hansdemakelaar,,,Land van Cuijk,Land Van Cuijk,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Overwater Rentmeesterskantoor B.V.,,,Moerdijk,Moerdijk,Noord-Brabant,,missing,0.40,true,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Trommelen Makelaars en Taxateurs,,,Oosterhout,Oosterhout,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Lavrijsen Makelaardij,,,Reusel-De Mierden,Reusel De Mierden,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
Buro Kuiten B.V.,,,Vught,Vught,Noord-Brabant,,missing,0.40,true,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Grosfeld makelaardij,,,Woensdrecht,Woensdrecht,Noord-Brabant,,missing,0.40,true,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
